model,record_type,term,value,condition_number,bp_pvalue,n_cooks_over_4n,max_cooks_distance,max_leverage,max_abs_studentized_residual
Model B,category_count,reason=reputation,105.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,reason=other,36.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,guardian=mother,273.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,guardian=father,90.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,guardian=other,32.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,schoolsup=no,344.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,schoolsup=yes,51.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,famsup=yes,242.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,famsup=no,153.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,paid=no,214.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,paid=yes,181.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,activities=yes,201.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,activities=no,194.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,nursery=yes,314.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,nursery=no,81.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,higher=yes,375.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,higher=no,20.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,internet=yes,329.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,internet=no,66.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,romantic=no,263.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
Model B,category_count,romantic=yes,132.0,569.0595106873402,5.423342336467754e-05,29,0.0625782358454608,0.3407466083785358,4.467451651944796
